"GEO_ID","id",
"B08526_095M","Margin of Error!!Total!!Worked at home!!Wholesale trade",
"B08526_096E","Estimate!!Total!!Worked at home!!Retail trade",
"B08526_096M","Margin of Error!!Total!!Worked at home!!Retail trade",
"B08526_097E","Estimate!!Total!!Worked at home!!Transportation and warehousing, and utilities",
"B08526_097M","Margin of Error!!Total!!Worked at home!!Transportation and warehousing, and utilities",
"B08526_098E","Estimate!!Total!!Worked at home!!Information",
"B08526_098M","Margin of Error!!Total!!Worked at home!!Information",
"B08526_099E","Estimate!!Total!!Worked at home!!Finance and insurance, and real estate and rental and leasing",
"B08526_099M","Margin of Error!!Total!!Worked at home!!Finance and insurance, and real estate and rental and leasing",
"B08526_100E","Estimate!!Total!!Worked at home!!Professional, scientific, and management, and administrative and waste management services",
"B08526_100M","Margin of Error!!Total!!Worked at home!!Professional, scientific, and management, and administrative and waste management services",
"B08526_101E","Estimate!!Total!!Worked at home!!Educational services, and health care and social assistance",
"B08526_101M","Margin of Error!!Total!!Worked at home!!Educational services, and health care and social assistance",
"B08526_102E","Estimate!!Total!!Worked at home!!Arts, entertainment, and recreation, and accommodation and food services",
"B08526_102M","Margin of Error!!Total!!Worked at home!!Arts, entertainment, and recreation, and accommodation and food services",
"B08526_103E","Estimate!!Total!!Worked at home!!Other services (except public administration)",
"B08526_103M","Margin of Error!!Total!!Worked at home!!Other services (except public administration)",
"B08526_104E","Estimate!!Total!!Worked at home!!Public administration",
"B08526_104M","Margin of Error!!Total!!Worked at home!!Public administration",
"B08526_105E","Estimate!!Total!!Worked at home!!Armed forces",
"B08526_105M","Margin of Error!!Total!!Worked at home!!Armed forces",
