testdate,county,newpositives,cumulativepositives,newtests,cumulativetests
2020-05-25,Monroe County,29,2762,1595,45248
2020-05-25,Montgomery County,1,80,41,2356
2020-05-25,Nassau County,67,39974,2269,156710
2020-05-25,New York County,83,26092,3635,144243
2020-05-25,Niagara County,10,965,366,11529
2020-05-25,Oneida County,12,917,427,14310
2020-05-25,Onondaga County,31,2012,1129,32265
2020-05-25,Ontario County,10,195,218,5306
2020-05-25,Orange County,33,10277,617,44736
2020-05-25,Orleans County,3,208,49,1951
2020-05-25,Oswego County,0,104,175,4713
2020-05-25,Otsego County,0,69,17,2963
2020-05-25,Putnam County,8,1222,184,7939
2020-05-25,Queens County,132,60960,3789,225965
2020-05-25,Rensselaer County,1,466,158,8604
2020-05-25,Richmond County,38,13325,1047,53767
2020-05-25,Rockland County,23,13019,652,48397
2020-05-25,Saratoga County,2,463,312,11178
2020-05-25,Schenectady County,4,668,143,10249
2020-05-25,Schoharie County,0,49,12,1253
2020-05-25,Schuyler County,0,11,14,1212
2020-05-25,Seneca County,0,55,86,1698
2020-05-25,St. Lawrence County,0,197,60,7966
2020-05-25,Steuben County,0,240,79,4905
2020-05-25,Suffolk County,109,39199,3241,160943
2020-05-25,Sullivan County,14,1338,238,7179
2020-05-25,Tioga County,0,122,45,2488
2020-05-25,Tompkins County,0,154,48,8945
2020-05-25,Ulster County,6,1638,162,16523
2020-05-25,Warren County,0,251,56,4079
2020-05-25,Washington County,0,228,106,2766
2020-05-25,Wayne County,1,110,170,3995
2020-05-25,Westchester County,58,33107,1695,143178
2020-05-25,Wyoming County,0,82,29,2009
2020-05-25,Yates County,0,37,67,1022
2020-05-24,Albany County,9,1791,378,21704
2020-05-24,Allegany County,0,44,53,1438
2020-05-24,Bronx County,110,44247,2445,162859
2020-05-24,Broome County,18,519,669,11928
2020-05-24,Cattaraugus County,3,81,311,3562
2020-05-24,Cayuga County,0,77,176,3255
2020-05-24,Chautauqua County,0,75,38,3434
2020-05-24,Chemung County,0,136,196,5179
2020-05-24,Chenango County,1,119,217,3041
2020-05-24,Clinton County,0,95,70,2665
2020-05-24,Columbia County,7,372,134,3488
2020-05-24,Cortland County,0,39,221,3131
2020-05-24,Delaware County,0,77,44,2071
2020-05-24,Dutchess County,18,3825,650,26933
2020-05-24,Erie County,74,5700,1718,50509
2020-05-24,Essex County,0,36,88,2146
2020-05-24,Franklin County,0,20,138,2432
2020-05-24,Fulton County,2,196,86,2483
2020-05-24,Genesee County,1,192,95,3175
2020-05-24,Greene County,5,225,35,2355
2020-05-24,Hamilton County,0,5,3,406
2020-05-24,Herkimer County,2,103,237,2646
2020-05-24,Jefferson County,0,72,107,4891
2020-05-24,Kings County,185,54360,4990,225872
2020-05-24,Lewis County,0,19,43,1746
2020-05-24,Livingston County,1,115,196,3058
2020-05-24,Madison County,2,303,67,3383
2020-05-24,Monroe County,36,2733,1729,43653
2020-05-24,Montgomery County,0,79,159,2315
2020-05-24,Nassau County,70,39907,2891,154441
2020-05-24,New York County,100,26009,3356,140608
2020-05-24,Niagara County,14,955,501,11163
2020-05-24,Oneida County,27,905,930,13883
2020-05-24,Onondaga County,28,1981,1175,31136
2020-05-24,Ontario County,1,185,99,5088
2020-05-24,Orange County,19,10244,478,44119
2020-05-24,Orleans County,3,205,63,1902
2020-05-24,Oswego County,4,104,131,4538
2020-05-24,Otsego County,0,69,38,2946
2020-05-24,Putnam County,6,1214,185,7755
2020-05-24,Queens County,192,60828,4448,222176
2020-05-24,Rensselaer County,2,465,123,8446
2020-05-24,Richmond County,21,13287,732,52720
2020-05-24,Rockland County,33,12996,634,47745
2020-05-24,Saratoga County,5,461,185,10866
2020-05-24,Schenectady County,6,664,340,10106
2020-05-24,Schoharie County,0,49,21,1241
2020-05-24,Schuyler County,0,11,52,1198
2020-05-24,Seneca County,0,55,56,1612
2020-05-24,St. Lawrence County,0,197,114,7906
2020-05-24,Steuben County,0,240,72,4826
2020-05-24,Suffolk County,126,39090,4010,157702
2020-05-24,Sullivan County,14,1324,170,6941
2020-05-24,Tioga County,0,122,54,2443
2020-05-24,Tompkins County,3,154,267,8897
2020-05-24,Ulster County,15,1632,590,16361
2020-05-24,Warren County,1,251,65,4023
2020-05-24,Washington County,2,228,51,2660
2020-05-24,Wayne County,1,109,106,3825
2020-05-24,Westchester County,81,33049,2323,141483
2020-05-24,Wyoming County,1,82,42,1980
2020-05-24,Yates County,0,37,28,955
2020-05-23,Albany County,12,1782,438,21326
2020-05-23,Allegany County,0,44,33,1385
2020-05-23,Bronx County,216,44137,4575,160414
2020-05-23,Broome County,16,501,629,11259
