"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36053","Madison County, New York","26026","467","1382","227","1029","180","1097","157","1245","222","1272","201","1236","207","1225","228","914","158","1184","203","2358","275","3164","366","3514","368","2644","255","1479","214","1285","188","998","161"
"0500000US36105","Sullivan County, New York","27890","700","1695","238","1487","275","1604","232","1378","245","1376","274","1599","266","1349","234","1295","219","1084","241","1730","283","3056","316","3815","380","2228","268","1427","244","1620","211","1147","203"
"0500000US36037","Genesee County, New York","23681","346","1241","212","1354","254","929","143","1111","215","1002","196","1257","245","1030","170","1147","167","899","169","1979","249","2623","237","3783","321","2163","224","1377","191","1125","179","661","144"
"0500000US36071","Orange County, New York","126776","881","5905","534","5003","501","4685","546","4793","447","4328","433","4981","443","4608","464","4591","465","3866","395","8013","539","11287","689","16281","833","13608","679","11164","713","12577","657","11086","619"
"0500000US36005","Bronx County, New York","499728","1095","67371","1998","49272","1570","36283","1439","29701","1300","27065","1346","25635","1134","22829","1100","23489","1315","18085","1005","36787","1374","40519","1360","47045","1497","29488","1114","16321","903","16847","949","12991","692"
"0500000US36035","Fulton County, New York","22439","464","1242","217","1389","265","1248","237","1293","238","1427","201","1296","228","1093","188","1126","192","1044","184","2101","251","2451","299","2852","275","1674","227","900","154","809","160","494","128"
"0500000US36083","Rensselaer County, New York","64563","603","3267","394","2725","437","2465","274","2662","384","2988","375","2968","394","2337","300","2744","313","2699","347","5051","556","6589","557","9127","557","6484","435","4698","440","4465","438","3294","369"
"0500000US36027","Dutchess County, New York","107347","824","4288","504","4595","547","3318","383","3744","431","4199","412","3874","422","3798","375","3423","385","3517","406","7271","610","9630","592","14471","824","12201","624","8283","630","10440","629","10295","534"
"0500000US36043","Herkimer County, New York","24583","425","1351","254","1336","232","1544","260","1276","178","1507","202","1361","208","1133","139","1326","199","1097","199","2088","240","2800","267","3411","305","2035","212","977","153","863","153","478","104"
"0500000US36089","St. Lawrence County, New York","41669","474","2613","365","2995","364","2786","340","2470","307","2239","242","2327","322","1991","225","2087","224","1563","198","3610","279","4073","310","5480","385","3368","300","1662","206","1370","214","1035","150"
"0500000US36113","Warren County, New York","27553","450","1241","215","1298","183","1307","219","1277","217","1338","208","1303","206","1204","224","1323","209","1180","187","2338","292","2901","233","3809","339","2864","321","1663","220","1369","193","1138","182"
"0500000US36055","Monroe County, New York","300796","1361","19837","861","15813","884","14538","796","14703","772","14560","813","14759","853","13350","736","13790","776","11754","678","22558","959","30002","955","36956","1029","28213","1027","16827","757","17786","683","15350","624"
"0500000US36111","Ulster County, New York","69539","800","3459","380","3748","373","3248","420","3136","371","3220","327","3123","386","3007","351","2666","398","2469","284","5082","467","7410","537","8659","571","6556","517","4532","455","4826","403","4398","332"
"0500000US36051","Livingston County, New York","24383","388","1300","278","1300","252","1347","232","1205","196","961","197","1179","211","1289","255","1191","237","1102","245","2081","256","2679","295","3392","323","2568","230","1142","155","1089","175","558","128"
"0500000US36039","Greene County, New York","17117","472","1032","220","1193","261","900","211","821","179","1026","180","870","165","745","168","764","153","662","182","1448","272","1680","258","2415","315","1488","230","756","157","793","148","524","107"
"0500000US36003","Allegany County, New York","18009","344","1202","173","1109","156","1139","129","1189","159","846","94","1026","124","951","143","1175","142","1045","149","1456","145","2044","181","2264","175","1273","137","648","105","379","80","263","59"
"0500000US36009","Cattaraugus County, New York","31433","354","1941","225","2233","275","2007","210","2036","194","1770","195","1904","191","1605","184","1648","163","1333","148","2784","252","3183","225","3952","234","2306","199","1299","161","840","144","592","125"
"0500000US36093","Schenectady County, New York","53295","990","2687","335","2811","394","2453","360","2389","305","2335","306","2342","345","2060","246","2319","317","1968","230","3864","394","5377","394","7403","555","5789","385","3300","293","3613","343","2585","289"
"0500000US36123","Yates County, New York","9029","271","495","111","421","103","579","150","477","130","435","96","546","139","444","91","388","91","475","86","678","103","869","125","1214","142","848","139","388","94","472","126","300","85"
