"GEO_ID","NAME","B08522_001E","B08522_001M","B08522_002E","B08522_002M","B08522_003E","B08522_003M","B08522_004E","B08522_004M","B08522_005E","B08522_005M","B08522_006E","B08522_006M","B08522_007E","B08522_007M","B08522_008E","B08522_008M","B08522_009E","B08522_009M","B08522_010E","B08522_010M","B08522_011E","B08522_011M","B08522_012E","B08522_012M","B08522_013E","B08522_013M","B08522_014E","B08522_014M","B08522_015E","B08522_015M","B08522_016E","B08522_016M","B08522_017E","B08522_017M","B08522_018E","B08522_018M","B08522_019E","B08522_019M","B08522_020E","B08522_020M","B08522_021E","B08522_021M","B08522_022E","B08522_022M","B08522_023E","B08522_023M","B08522_024E","B08522_024M","B08522_025E","B08522_025M","B08522_026E","B08522_026M","B08522_027E","B08522_027M","B08522_028E","B08522_028M"
"0500000US36029","Erie County, New York","465588","2811","27836","1148","23580","1112","414172","3036","384723","2988","17616","1008","15918","845","351189","3215","35959","1348","3147","406","2886","458","29926","1185","15952","942","3636","432","2213","373","10103","692","11057","805","2259","356","1455","239","7343","623","4691","442","486","135","562","175","3643","393","13206","847","692","219","546","124","11968","833"
"0500000US36053","Madison County, New York","22806","746","923","215","1534","279","20349","761","18079","712","653","191","1176","248","16250","708","1770","253","135","72","148","82","1487","223","105","104","8","12","41","52","56","52","969","223","26","19","75","56","868","209","260","79","49","57","46","45","165","53","1623","258","52","37","48","32","1523","263"
"0500000US36105","Sullivan County, New York","26980","986","2037","387","1736","261","23207","1009","21892","876","1186","251","1309","253","19397","946","2007","292","360","159","130","71","1517","234","151","95","18","19","26","43","107","68","848","240","270","180","58","45","520","153","482","197","55","49","76","62","351","175","1600","277","148","80","137","87","1315","225"
"0500000US36037","Genesee County, New York","24284","766","1320","220","1214","251","21750","738","20078","819","874","215","733","205","18471","771","1925","276","124","69","198","89","1603","249","147","72","16","20","45","35","86","50","884","203","151","76","119","79","614","137","522","141","122","70","97","68","303","109","728","140","33","25","22","27","673","131"
"0500000US36071","Orange County, New York","147693","2193","7973","556","7247","742","132473","2120","115502","2222","4384","498","4474","587","106644","2180","12984","961","1197","301","1197","300","10590","781","2561","420","634","153","353","142","1574","353","5261","562","1023","198","506","161","3732","462","3370","431","338","117","365","142","2667","401","8015","776","397","130","352","139","7266","741"
"0500000US36005","Bronx County, New York","378570","4205","42997","1515","34384","1553","301189","4253","141462","2721","6433","477","7007","583","128022","2682","25277","1111","1718","358","1354","244","22205","1038","144295","3292","21432","1197","17312","1109","105551","2875","40233","1840","8506","746","5282","602","26445","1690","9346","804","975","262","1327","356","7044","735","17957","1104","3933","508","2102","343","11922","910"
"0500000US36035","Fulton County, New York","18176","611","1441","260","1195","251","15540","660","15197","613","887","185","921","224","13389","626","1533","258","225","86","138","79","1170","232","54","42","0","27","2","4","52","42","534","148","153","100","47","33","334","100","461","172","137","93","45","55","279","131","397","140","39","39","42","43","316","125"
"0500000US36083","Rensselaer County, New York","57087","1504","3368","457","2993","399","50726","1375","45374","1327","2003","373","1777","257","41594","1236","4493","526","394","119","359","136","3740","491","1663","355","317","122","411","180","935","267","2240","377","470","154","293","172","1477","295","655","175","70","50","38","38","547","164","2662","322","114","81","115","70","2433","301"
"0500000US36027","Dutchess County, New York","115192","2049","5371","631","5587","621","104234","2089","91288","2142","3448","474","3434","461","84406","2059","8628","806","557","168","963","295","7108","681","1934","335","559","185","305","178","1070","214","4014","441","439","185","440","163","3135","415","1401","273","112","57","219","101","1070","232","7927","595","256","89","226","132","7445","543"
"0500000US36043","Herkimer County, New York","18404","696","1397","253","1560","303","15447","758","13826","635","837","189","923","177","12066","651","1701","222","150","71","226","140","1325","212","208","104","92","68","56","65","60","37","1263","220","230","102","145","88","888","199","230","83","30","28","44","44","156","64","1176","177","58","37","166","78","952","149"
"0500000US36089","St. Lawrence County, New York","39163","1029","3421","378","2933","359","32809","994","31429","919","2208","309","2252","338","26969","860","3808","478","396","170","273","90","3139","421","177","84","55","74","22","26","100","53","1440","278","281","151","119","61","1040","226","371","85","174","67","27","24","170","60","1938","305","307","127","240","146","1391","208"
"0500000US36113","Warren County, New York","36866","1079","1949","401","2077","340","32840","1049","30166","1048","1205","248","1490","296","27471","1070","3444","452","331","152","330","150","2783","385","460","227","90","79","88","71","282","156","1086","227","173","103","85","66","828","186","587","168","98","73","67","47","422","140","1123","194","52","39","17","17","1054","182"
"0500000US36055","Monroe County, New York","383452","2473","21880","1177","19979","1200","341593","2909","317517","2656","13739","894","14127","978","289651","2817","29409","1359","2855","404","2105","306","24449","1127","10527","857","2870","379","1819","517","5838","549","7599","614","1279","234","1064","255","5256","491","4292","449","509","160","471","173","3312","384","14108","967","628","183","393","122","13087","894"
"0500000US36111","Ulster County, New York","68083","1542","4697","522","4133","478","59253","1493","52085","1362","3060","389","2712","419","46313","1279","5934","618","326","147","500","183","5108","635","540","175","71","47","29","49","440","159","2824","389","704","198","411","129","1709","294","830","153","109","61","80","61","641","121","5870","541","427","157","401","127","5042","483"
"0500000US36051","Livingston County, New York","21792","787","1693","298","1421","325","18678","669","17817","768","1097","227","1024","266","15696","693","1382","227","116","74","149","79","1117","204","245","107","72","55","7","10","166","101","1255","260","362","160","159","118","734","195","190","97","3","6","43","53","144","76","903","153","43","37","39","31","821","146"
"0500000US36039","Greene County, New York","16594","708","933","237","881","243","14780","695","13174","713","588","164","544","180","12042","667","1451","249","118","81","155","93","1178","216","8","13","0","24","0","24","8","13","582","185","44","33","28","28","510","173","416","224","139","135","103","116","174","68","963","189","44","41","51","43","868","188"
"0500000US36003","Allegany County, New York","14941","433","1150","181","1094","145","12697","391","11912","375","723","147","815","115","10374","342","1225","158","135","46","102","31","988","152","89","45","35","30","21","20","33","24","952","179","167","57","75","45","710","160","207","68","20","20","51","43","136","49","556","91","70","35","30","17","456","86"
"0500000US36009","Cattaraugus County, New York","29398","748","2306","250","2359","215","24733","688","24475","711","1473","197","1658","189","21344","656","2240","219","272","94","264","61","1704","177","128","66","15","16","15","19","98","62","1196","204","249","79","250","86","697","152","431","115","125","69","63","41","243","101","928","137","172","51","109","40","647","129"
"0500000US36093","Schenectady County, New York","66296","1768","2922","439","3090","470","60284","1759","55199","1683","1849","346","1920","321","51430","1661","4495","482","240","104","406","159","3849","488","1538","325","506","169","314","135","718","240","1483","340","181","109","154","79","1148","298","1369","327","76","49","135","88","1158","275","2212","348","70","42","161","90","1981","337"
"0500000US36123","Yates County, New York","9212","498","581","161","584","135","8047","492","6230","481","264","82","308","100","5658","466","763","205","96","49","69","40","598","184","0","21","0","21","0","21","0","21","616","174","91","58","65","53","460","154","446","123","66","61","43","33","337","106","1157","163","64","43","99","50","994","153"
